id,depth.mean,depth.top,depth.btm,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,smb,pseudo
ABN_SKL,0,0,0,-71.1669,111.3665,243,0.0684,0.0708,0.0316,0.0022,4,0.0005,0.0008,0.0003,0.0011,p5,ABN,122,1
CHICH_P5-003,1.5,0,3,-71.1669,111.3665,102,0.0853,0.0889,0.0391,0.041,2,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-006,4.5,3,6,-71.1669,111.3665,78,0.0904,0.0949,0.041,0.0547,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-009RR,7.5,6,9,-71.1669,111.3665,85,0.0895,0.0952,0.04,0.0507,1,0.0005,0.0008,0.0003,0.0011,p5,ABN,122,0
CHICH_P5-012,10.5,9,12,-71.1669,111.3665,89,0.0905,0.0959,0.0406,0.0455,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-015,13.5,12,15,-71.1669,111.3665,84,0.088,0.0937,0.0392,0.038,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-018,16.5,15,18,-71.1669,111.3665,74,0.0833,0.0896,0.0367,0.0276,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-021,19.5,18,21,-71.1669,111.3665,76,0.0847,0.0909,0.0375,0.0247,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-024,22.5,21,24,-71.1669,111.3665,77,0.0854,0.0918,0.0377,0.0209,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-027,25.5,24,27,-71.1669,111.3665,82,0.0847,0.092,0.0369,0.0173,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-030,28.5,27,30,-71.1669,111.3665,95,0.075,0.079,0.0339,0.0121,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-033,31.5,30,33,-71.1669,111.3665,175,0.0662,0.0662,0.0318,0.018,3,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-036,34.5,33,36,-71.1669,111.3665,171,0.0659,0.0661,0.0315,0.0158,3,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-039,37.5,36,39,-71.1669,111.3665,130,0.0617,0.0608,0.03,0.0232,2,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-042,40.5,39,42,-71.1669,111.3665,77,0.0642,0.0668,0.0295,0.0302,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-045,43.5,42,45,-71.1669,111.3665,68,0.0691,0.0732,0.031,0.044,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
